"","farm","address"
"331","Meadows Honey Homestead, LLC","6382 Old Settlers Road, Mazomanie, WI 53560"
"332","Northwoods Orchard and Farm Market","7428 State Road 82, Mauston, WI 53948"
"333","Meadow Lane Produce","7901 State Road 96, Fremont, WI 54940"
"334","Blaser's Acres","2556 School Lane, Green Bay, WI 54313"
"335","Log Cabin Orchard","4797 County Rd E, Plymouth, WI 53073"
"336","Leffel Roots Apple Orchard","2369 Maple Road, Eau Claire, WI 54701"
"337","Buttermilk Falls CSA & Folk School Retreat","599 280th Street, Osceola, WI 54020"
"338","Glenna Farms","1333 - 120th Street, Amery, WI 54001"
"339","Neumann Farms","2277 40th Avenue, Osceola, WI 54020"
"340","Nesbitt's Nursery, Orchard, Oasis Eatery, and Happ","4380 State Road 35, Prescott, WI 54021"
"341","Highland Valley Farm","87080 Valley Rd, Bayfield, WI 54814"
"342","Pleasant View Orchard and Bakery","6050 Chapman Road, Niagara, WI 54151"
"343","Nelson's Berry Farm","4929 Gunnar Road, Westboro, WI 54490"
"344","Cedar Creek Produce","11709 Clay Street, Leo-cedarville, IN 46765"
"345","Valmere Farms LLC","641 East State Road 2, Westville, IN 46391. Phone: 219-688-4753. Email: valmerefarms@gmail.com. Open: Jsee our facebook page for current hours. Directions: 641 East State Road 2 Westville, IN 46391"
"346","Pinhook Pumpkins & Gourds","5981 Pinhook Road Bedford, Bedford, IN 47421"
"347","Roselawn Heritage Farms","24069 Rum River Blvd., Saint Francis, MN 55070"
"348","Baker Park Reserve Maple Syruping","4001 County Rd 24, Maple Plain, MN 55359"
"349","Eastman Nature Center","13351 Elm Creek Road, Dayton, MN 55369"
"350","Eden Prairie Outdoor Center","13765 Staring Lake Parkway, Eden Prairie, MN 55347"
"351","Gale Woods Farm","7210 County Road 110 West, Minnetrista, MN 55364"
"352","Historic Eidem Farm","4345 101st Ave N, Brooklyn Park, MN 55443"
"353","Pond","401 East 104th Street, Bloomington, MN 55420"
"354","Richardson Nature Center","8737 East Bush Lake Road, Bloomington, MN 55438"
"355","Westwood Hills Nature Center Maple Syrup Tapping","8300 W Franklin Ave, St Louis Park, MN 55426"
"356","Fresh Acres LLC","7385 Jason Ace Ne, Monticello, MN 55362"
"357","Baylor Regional Park","9406 10775, County Rd 33, Norwood Young America, MN 55397"
"358","Lowry Nature Center","7025 Victoria Drive, Victoria, MN 55386"
"359","Minnesota Landscape Arboretum","3675 Arboretum Drive, Chaska, MN 55318"
"360","Carpenter","12805 St Croix Trail S, Hastings, MN 55033. Open: March 16 & 23, 2024. $8. 1pm-3pm.Pre-registration required, – Call 651-437-4359 or register and pay online HERE. Location: 12805 St. Croix Trail S., Hastings, MN 55033"
"361","Dodge Nature Center Maple Syruping","3, 1701 Charlton Street, West St. Paul, MN 55118"
"362","Cleary Lake Regional Park","18106 Texas Avenue, Prior Lake, MN 55372"
"363","Sally Manzara Nature Center","3554 Kelvin Ave N, Lake Elmo, MN 55042"
"364","Wargo Nature Center","7701 Main St, Lino Lakes, MN 55038"
"365","Warrup's Farm","11 John Read Road, Redding, CT 06896"
"366","Ellsworth Hill Orchard and Berry Farm","461 Cornwall Bridge Road Route 4, Sharon, CT 06069"
"367","Goshen Farmers' Market","42 Ives Rd, Goshen, CT 06756"
"368","Angevine Farm","40 Angevine Road, Warren, CT 06754"
"369","Barbourtown Tree and Maple Syrup Farm","225 Barbourtown Road, Canton, CT 06019"
"370","Hartland Hollow Modern Homestead","54 Walnut Hill Rd, East Hartland, CT 06027"
"371","Karabin Farms","894 Andrews Street, Southington, CT 06489"
"372","Lamothe's Sugar House","89 Stone Road, Burlington, CT 06013"
"373","Roaring Brook Nature Center","70 Gracey Road, Canton, CT 06019"
"374","Sweet Wind Farm","339 South Road, Rte. 179, East Hartland, CT 06027"
"375","Walnut Ledge Farm","360 Matson Hill Road, South Glastonbury, CT 06073"
"376","Scantic Valley Farm","327 9th District Rd, Somers, CT 06071"
"377","Peaceful Hill Tree Farm","118 Clark Hill Road, East Hampton, CT 06424"
"378","Staehly Farms","278 Town Street, East Haddam, CT 06423"
"379","Winterberry Farm","104 Parker Hill Road Ext., Killingworth, CT 06419"
"380","Norton Brothers Fruit Farm","450-466 Academy Road, Cheshire, CT 06410"
"381","Ragland Farm","1127 Main Street North, Southbury, CT 06488"
"382","Townline Farm of Woodbridge","902 Baldwin Road, Woodbridge, CT 06525"
"383","Ekonk Hill Turkey Farm","227 Ekonk Hill Road, Sterling, CT 06354"
"384","Horse Listeners Orchard","317 Bebbington Rd, Ashford, CT 06278"
"385","Woodlands Maple Syrup at MacPhee's Orchard","5151 Launching Road, Cardigan, PE C0A 1G0"
"386","Au fin délice","1106 ch. St-Henri, Très-Saint-Rédempteur, QC J0P 1P1"
"387","Domaine des Hautes Sentiers","2340 Brooks Road, Franklin Centre, QC J0S 1E0"
"388","Vergers Rockburn Orchards","2644, Route 202,, Hinchinbrooke, QC J0S 1E0"
"389","Uder the oak farm","7185 Bell Mckinnon Road, Duncan, BC V9L 6B5"
"390","Verger de la Rivière Cocagne","501 Cocagne Sud Road, Cocagne, NB E4R 2K2"
"391","Love Area","8674 Heritage Road Brampton, Brampton, ON L6Y 0E1"
"392","Brooks Farms","122 Ashworth Road, Mount Albert, ON L0G 1M0"
"393","Mill Creek Farm","44 County Road 11, Picton, ON K0K 2T0"
"394","Windecker Woods Flower Farm","215 Windecker Rd Operationally, we pinpointed which specific flower, Cayuga, ON N0A 1E0"
"395","A Shaded Acre","1377 Jones Falls Rd, Elgin, ON K0G 1E0"
"396","DeVries Fruit Farm","825 Canboro Rd, Fenwick , ON LOS 1CO"
"397","Copeman Tree Farms","66 Bloomfield Rd, Sundridge, ON P0A 1Z0"
"398","Ferme Proulx Farm","1865 Chemin O'Toole, Cumberland, Ottawa, ON K4C 1N2"
"399","Domaine Cleroux Maple Orchard","199 Route 300 East, Casselman, ON K0A 1M0"
